title,rating
"Mothman Prophecies, The (2002)",1
"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",2
Moulin Rouge (2001),11
Mouse Hunt (1997),1
Movie 43 (2013),1
Mr. & Mrs. Smith (2005),5
Mr. Deeds (2002),1
Mr. Holland's Opus (1995),20
Mr. Mom (1983),1
Mr. Nobody (2009),1
Mr. Peabody & Sherman (2014),1
Mr. Skeffington (1944),1
Mr. Smith Goes to Washington (1939),5
Mr. Wrong (1996),1
"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)",1
Mrs. Dalloway (1997),1
Mrs. Doubtfire (1993),15
Mrs. Miniver (1942),1
Much Ado About Nothing (1993),8
Mud (2012),1
Mulan (1998),4
Mulholland Drive (2001),10
Mulholland Falls (1996),1
"Mummy Returns, The (2001)",1
"Mummy, The (1999)",7
Munich (2005),2
"Muppet Christmas Carol, The (1992)",4
"Muppet Movie, The (1979)",3
Muppet Treasure Island (1996),3
Muppets From Space (1999),1
"Muppets Take Manhattan, The (1984)",2
"Muppets, The (2011)",1
Murder in the First (1995),5
Muriel's Wedding (1994),2
"Music Man, The (1962)",1
Mutant Aliens (2001),1
Mutiny on the Bounty (1935),1
My Architect: A Son's Journey (2003),1
My Best Friend's Wedding (1997),2
My Big Fat Greek Wedding (2002),5
My Blue Heaven (1990),2
My Bodyguard (1980),2
My Cousin Vinny (1992),6
My Dinner with André (1981),1
My Fair Lady (1964),8
My Favorite Year (1982),1
My Left Eye Sees Ghosts (Ngo joh aan gin diy gwai) (2002),1
My Left Foot (1989),2
My Life (1993),1
My Life as McDull (Mak dau goo si) (2001),1
My Life as a Dog (Mitt liv som hund) (1985),3
My Life in Pink (Ma vie en rose) (1997),3
My Love (2006),1
My Man Godfrey (1936),2
My Man Godfrey (1957),1
My Neighbor Totoro (Tonari no Totoro) (1988),9
My Own Private Idaho (1991),1
My Sassy Girl (Yeopgijeogin geunyeo) (2001),1
My Stepmother Is an Alien (1988),1
My Wife is an Actress (Ma Femme est une Actrice) (2001),2
Mystery Men (1999),2
Mystery Science Theater 3000: The Movie (1996),4
"Mystery of the Third Planet, The (Tayna tretey planety) (1981)",1
"Mystery, Alaska (1999)",1
Mystic Pizza (1988),1
Mystic River (2003),2
Naked (1993),1
"Naked Gun 2 1/2: The Smell of Fear, The (1991)",3
Naked Gun 33 1/3: The Final Insult (1994),4
"Naked Gun: From the Files of Police Squad!, The (1988)",3
"Name of the Rose, The (Name der Rose, Der) (1986)",1
Napoleon Dynamite (2004),3
Nashville (1975),1
Nasu: Summer in Andalusia (2003),1
National Lampoon's Bag Boy (2007),1
National Lampoon's Senior Trip (1995),1
National Lampoon's Vacation (1983),3
National Lampoon's Van Wilder (2002),1
National Treasure (2004),1
Natural Born Killers (1994),12
"Natural, The (1984)",1
Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),6
Near Dark (1987),3
Nebraska (2013),1
"Negotiator, The (1998)",2
Nell (1994),4
"Net, The (1995)",8
Network (1976),4
Never Been Kissed (1999),1
Never Cry Wolf (1983),2
Never Say Never Again (1983),1
"NeverEnding Story, The (1984)",5
New Jersey Drive (1995),1
"Newton Boys, The (1998)",1
"Next Karate Kid, The (1994)",1
Next Stop Wonderland (1998),1
Night Shift (1982),1
Night at the Museum (2006),1
"Night at the Opera, A (1935)",1
Night of the Comet (1984),1
Night of the Living Dead (1968),9
Night on Earth (1991),2
Nightcrawler (2014),2
"Nightmare Before Christmas, The (1993)",12
"Nightmare on Elm Street, A (1984)",3
"Nights of Cabiria (Notti di Cabiria, Le) (1957)",2
"Nine Lives of Tomas Katz, The (2000)",1
Nine Months (1995),2
Nine to Five (a.k.a. 9 to 5) (1980),1
Ninja Scroll (Jûbei ninpûchô) (1995),2
Ninotchka (1939),2
"Ninth Gate, The (1999)",1
Nixon (1995),3
No Country for Old Men (2007),11
No Direction Home: Bob Dylan (2005),2
No Man's Land (2001),3
No Way Out (1987),2
Noah (2014),1
Nobody's Fool (1994),3
North by Northwest (1959),20
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",1
"Notebook, The (2004)",8
Notorious (1946),5
Notting Hill (1999),6
Now You See Me (2013),2
Now and Then (1995),2
Nurse Betty (2000),1
"Nut Job, The (2014)",1
"Nutty Professor, The (1963)",1
"Nutty Professor, The (1996)",4
"O Brother, Where Art Thou? (2000)",17
Oblivion (2013),1
Observe and Report (2009),1
Obsession (1965),1
Ocean's Eleven (2001),10
Ocean's Eleven (a.k.a. Ocean's 11) (1960),1
Ocean's Thirteen (2007),3
Ocean's Twelve (2004),3
October Sky (1999),4
"Odd Couple, The (1968)",3
"Odd Life of Timothy Green, The (2012)",1
"Odessa File, The (1974)",1
Of Mice and Men (1992),1
Office Space (1999),22
"Officer and a Gentleman, An (1982)",3
Oklahoma! (1955),1
Old Boy (2003),10
Old School (2003),2
Oliver & Company (1988),1
Oliver! (1968),1
"Omega Man, The (1971)",1
"Omen, The (1976)",3
On Golden Pond (1981),3
On Her Majesty's Secret Service (1969),1
On the Other Side of the Tracks (De l'autre côté du périph) (2012),1
On the Ropes (1999),1
On the Town (1949),1
On the Trail of the Bremen Town Musicians (1973),1
On the Waterfront (1954),8
Once (2006),2
Once Upon a Time in America (1984),4
Once Upon a Time in the West (C'era una volta il West) (1968),7
Once Were Warriors (1994),5
One Crazy Summer (1986),1
One Flew Over the Cuckoo's Nest (1975),41
One Hour Photo (2002),1
"One I Love, The (2014)",1
Ong-Bak: The Thai Warrior (Ong Bak) (2003),1
Only Lovers Left Alive (2013),1
Only You (1994),2
Ooops! Noah is Gone... (2015),1
Open Hearts (Elsker dig for evigt) (2002),1
Open Your Eyes (Abre los ojos) (1997),1
Opera (1987),1
Operation 'Y' & Other Shurik's Adventures (1965),1
"Opposite of Sex, The (1998)",1
Ordinary People (1980),4
Orgazmo (1997),1
Orlando (1992),1
Oscar (1967),1
"Other Sister, The (1999)",1
"Others, The (2001)",6
Out of Africa (1985),1
Out of Sight (1998),9
Out of the Past (1947),1
Outbreak (1995),10
"Outlaw Josey Wales, The (1976)",6
Outside Providence (1999),1
"Outsiders, The (1983)",2
Over the Hedge (2006),1
P.S. I Love You (2007),1
PK (2014),1
Pacific Heights (1990),1
Pacific Rim (2013),1
Paddington 2 (2017),1
Pain & Gain (2013),1
"Painted Veil, The (2006)",1
Pale Rider (1985),1
Palindromes (2004),1
"Palm Beach Story, The (1942)",1
Palookaville (1996),1
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",12
Panic (2000),1
Panic Room (2002),1
Paper Birds (Pájaros de papel) (2010),1
"Paper, The (1994)",1
Paperman (2012),4
Papillon (1973),2
Paprika (Papurika) (2006),2
Paradise Lost: The Child Murders at Robin Hood Hills (1996),1
Paranormal Activity (2009),1
Paranormal Activity 2 (2010),1
"Parent Trap, The (1961)",1
Parenthood (1989),2
Paris Is Burning (1990),2
Particle Fever (2013),1
Party Girl (1995),1
Passenger 57 (1992),1
"Passenger, The (Professione: reporter) (1975)",1
Passion Fish (1992),1
"Passion of the Christ, The (2004)",1
Patch Adams (1998),2
Paths of Glory (1957),6
Patriot Games (1992),2
"Patriot, The (2000)",4
Patton (1970),16
Pay It Forward (2000),3
Payback (1999),6
Peaceful Warrior (2006),1
"Peacemaker, The (1997)",2
Pecker (1998),1
Pee-wee's Big Adventure (1985),1
Peeping Tom (1960),1
Penguins of Madagascar (2014),1
Penn & Teller Get Killed (1989),1
Perfect Blue (1997),2
"Perfect Candidate, A (1996)",1
"Perfect Plan, A (Plan parfait, Un) (2012)",1
"Perfect Storm, The (2000)",2
"Perks of Being a Wallflower, The (2012)",5
Persepolis (2007),1
Persuasion (1995),3
Pet Sematary (1989),1
Peter Pan (1953),3
Peter's Friends (1992),1
Phantasm (1979),2
Phantasm II (1988),1
"Phantom of the Opera, The (2004)",1
Phantom of the Paradise (1974),2
"Phantom, The (1996)",1
Phenomenon (1996),5
Philadelphia (1993),8
"Philadelphia Story, The (1940)",13
Pi (1998),6
"Pianist, The (2002)",9
"Piano, The (1993)",9
Pineapple Express (2008),4
Pink Floyd: The Wall (1982),6
Pinocchio (1940),7
Pirates of the Caribbean: At World's End (2007),3
Pirates of the Caribbean: Dead Man's Chest (2006),7
Pirates of the Caribbean: Dead Men Tell No Tales (2017),1
Pirates of the Caribbean: On Stranger Tides (2011),2
Pirates of the Caribbean: The Curse of the Black Pearl (2003),18
Pitch Black (2000),1
Pitch Perfect (2012),1
Pitch Perfect 2 (2015),1
"Place in the Sun, A (1951)",1
Places in the Heart (1984),1
Plan 9 from Outer Space (1959),1
"Planes, Trains & Automobiles (1987)",6
Planet Earth (2006),3
Planet Earth II (2016),2
Planet Terror (2007),5
Planet of the Apes (1968),12
Planet of the Apes (2001),1
Platoon (1986),17
Play Time (a.k.a. Playtime) (1967),1
"Player, The (1992)",11
Pleasantville (1998),6
Pocahontas (1995),4
Point Break (1991),1
"Polar Express, The (2004)",1
Police Academy (1984),1
Police Academy 2: Their First Assignment (1985),1
Police Academy 3: Back in Training (1986),1
Police Academy 4: Citizens on Patrol (1987),1
Police Academy 5: Assignment: Miami Beach (1988),1
Police Story (Ging chaat goo si) (1985),1
Polish Wedding (1998),1
Pollock (2000),1
Pollyanna (1960),1
Poltergeist (1982),1
"Pompatus of Love, The (1996)",1
Ponette (1996),1
Ponyo (Gake no ue no Ponyo) (2008),5
Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),1
Porky's (1982),1
"Poseidon Adventure, The (1972)",1
"Postman, The (1997)",1
"Postman, The (Postino, Il) (1994)",12
Powder (1995),3
"Preacher's Wife, The (1996)",1
Predator (1987),10
Predator 2 (1990),2
Predestination (2014),1
"Prestige, The (2006)",17
Presto (2008),1
Presumed Innocent (1990),2
Pretty Woman (1990),10
Pretty in Pink (1986),1
Pride & Prejudice (2005),4
Pride and Prejudice (1940),1
Pride and Prejudice (1995),2
Priest (1994),2
Priklyucheniya Kapitana Vrungelya (1979),1
Primal Fear (1996),5
Primer (2004),2
"Prince of Egypt, The (1998)",4
"Princess Bride, The (1987)",55
"Princess Diaries, The (2001)",1
Princess Mononoke (Mononoke-hime) (1997),13
"Princess and the Frog, The (2009)",1
"Princess and the Warrior, The (Krieger und die Kaiserin, Der) (2000)",2
Prisoners (2013),6
Private Parts (1997),4
Prizzi's Honor (1985),2
"Producers, The (1968)",9
"Professional, The (Le professionnel) (1981)",1
Project A ('A' gai waak) (1983),1
Project A 2 ('A' gai wak juk jap) (1987),1
Project Almanac (2015),1
Prometheus (2012),2
"Promise, The (La promesse) (1996)",1
"Prophecy, The (1995)",2
"Prophet, A (Un Prophète) (2009)",1
"Proposal, The (2009)",2
Psycho (1960),21
Pulp Fiction (1994),123
Pump Up the Volume (1990),1
Punch-Drunk Love (2002),6
"Punisher, The (2004)",2
"Purge: Anarchy, The (2014)",1
"Purple Rose of Cairo, The (1985)",2
"Pursuit of Happyness, The (2006)",9
"Quest for Fire (Guerre du feu, La) (1981)",2
"Quick and the Dead, The (1995)",1
"Quiet American, The (2002)",1
"Quiet Man, The (1952)",1
Quiz Show (1994),9
Radio (2003),1
Radio Day (2008),1
Raging Bull (1980),15
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),69
Rain (2001),1
Rain Man (1988),12
Raise Your Voice (2004),1
Raise the Red Lantern (Da hong deng long gao gao gua) (1991),4
Raising Arizona (1987),18
Ran (1985),7
Random Hearts (1999),1
Rango (2011),3
Ransom (1996),4
Rare Exports: A Christmas Tale (Rare Exports) (2010),1
Rashomon (Rashômon) (1950),3
Rat Race (2001),1
Ratatouille (2007),12
Ray (2004),1
Ready to Wear (Pret-A-Porter) (1994),1
Real Genius (1985),3
Reality Bites (1994),1
Rear Window (1954),32
Rebecca (1940),5
Rebel Without a Cause (1955),5
"Recruit, The (2003)",1
Red Cliff (Chi bi) (2008),1
Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia) (2009),1
Red Corner (1997),1
Red Dawn (1984),2
Red Dragon (2002),3
Red Rock West (1992),2
Red Sorghum (Hong gao liang) (1987),1
"Red Violin, The (Violon rouge, Le) (1998)",5
Reefer Madness: The Movie Musical (2005),1
"Ref, The (1994)",4
Reform School Girls (1986),1
Reign Over Me (2007),2
Reindeer Games (2000),1
"Relic, The (1997)",1
"Remains of the Day, The (1993)",4
Remember the Titans (2000),8
Renaissance Man (1994),2
Repo Man (1984),1
Repulsion (1965),1
Requiem for a Dream (2000),25
"Rescuers, The (1977)",1
Reservoir Dogs (1992),45
Resident Evil: Apocalypse (2004),1
"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",1
"Return of the Pink Panther, The (1975)",1
Return to Treasure Island (1988),1
Revolutionary Road (2008),1
Revolver (2005),2
Richard III (1995),1
Richard Pryor Live on the Sunset Strip (1982),1
Richie Rich (1994),1
Rififi (Du rififi chez les hommes) (1955),1
"Right Stuff, The (1983)",6
Rio (2011),1
Rise of the Guardians (2012),2
Rise of the Planet of the Apes (2011),1
Rising Sun (1993),1
Risky Business (1983),5
"River Runs Through It, A (1992)",6
"River Wild, The (1994)",2
Rivers and Tides (2001),1
Road Trip (2000),2
"Road Warrior, The (Mad Max 2) (1981)",13
Road to Perdition (2002),3
Rob Roy (1995),7
Robin Hood (1973),4
Robin Hood: Men in Tights (1993),5
Robin Hood: Prince of Thieves (1991),1
RoboCop (1987),3
RoboCop 2 (1990),1
RoboCop 3 (1993),1
Robots (2005),1
"Rock, The (1996)",17
"Rocketeer, The (1991)",3
RocknRolla (2008),1
Rocky (1976),12
Rocky Balboa (2006),1
"Rocky Horror Picture Show, The (1975)",9
Rocky II (1979),2
Rocky IV (1985),2
Roger & Me (1989),8
Roger Dodger (2002),1
Rogue One: A Star Wars Story (2016),5
Rollerball (1975),1
Roman Holiday (1953),7
Romancing the Stone (1984),1
Romeo Must Die (2000),1
Romeo and Juliet (1968),3
Ronin (1998),6
"Room with a View, A (1986)",3
"Room, The (2003)",2
Roommates (1995),1
Rope (1948),1
Rosemary's Baby (1968),9
Rosencrantz and Guildenstern Are Dead (1990),7
Rounders (1998),4
"Royal Tenenbaums, The (2001)",10
Rudy (1993),5
"Rules of Attraction, The (2002)",2
Rumble in the Bronx (Hont faan kui) (1995),8
Run Lola Run (Lola rennt) (1998),11
Run Silent Run Deep (1958),1
Runaway Brain (1995) ,1
Runaway Bride (1999),1
"Running Man, The (1987)",3
Running Scared (1986),1
Rush (2013),2
Rush Hour (1998),2
Rush Hour 2 (2001),2
Rushmore (1998),13
Ruthless People (1986),1
SLC Punk! (1998),2
SORI: Voice from the Heart (2016),1
Saboteur (1942),1
Sabrina (1954),5
Sabrina (1995),2
Safe (1995),1
Safety Last! (1923),1
"Saint, The (1997)",2
"Salton Sea, The (2002)",1
"Samouraï, Le (Godson, The) (1967)",1
Samsara (2011),1
"Sandlot, The (1993)",4
"Sandpiper, The (1965)",1
"Santa Clause, The (1994)",7
Satin Rouge (2002),1
Saturn 3 (1980),1
Sausage Party (2016),1
Saved! (2004),1
Saving Face (2004),1
Saving Grace (2000),2
Saving Private Ryan (1998),61
Saving Santa (2013),1
Saw (2003),1
Saw (2004),2
Saw III (2006),1
Say Anything... (1989),9
"Scanner Darkly, A (2006)",1
Scarface (1983),11
"Scarlet Letter, The (1995)",1
Scary Movie (2000),5
Scary Movie 2 (2001),2
Scary Movie 3 (2003),2
Scary Movie 4 (2006),1
Scent of a Woman (1992),2
Schindler's List (1993),92
School of Rock (2003),3
Scooby-Doo (2002),2
Scooby-Doo Goes Hollywood (1979),1
Scooby-Doo! Abracadabra-Doo (2010),1
Scooby-Doo! Curse of the Lake Monster (2010),1
Scooby-Doo! and the Loch Ness Monster (2004),1
Scooby-Doo! and the Samurai Sword (2009),1
Scott Pilgrim vs. the World (2010),8
Scratch (2001),1
Scream (1996),8
Scream 2 (1997),2
Scream 3 (2000),1
Screamers (1995),3
Scrooged (1988),1
"Sea Inside, The (Mar adentro) (2004)",1
Seabiscuit (2003),1
"Searchers, The (1956)",2
Searching for Bobby Fischer (1993),7
"Secret Garden, The (1993)",1
"Secret Life of Walter Mitty, The (2013)",3
"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",1
"Secret of NIMH, The (1982)",1
"Secret of Roan Inish, The (1994)",3
Secretary (2002),2
Secrets & Lies (1996),6
Seems Like Old Times (1980),1
Sense and Sensibility (1995),19
"Separation, A (Jodaeiye Nader az Simin) (2011)",1
Serendipity (2001),2
Serenity (2005),9
Serpico (1973),1
Set It Off (1996),1
Seve (2014),1
Seven (a.k.a. Se7en) (1995),52
Seven Pounds (2008),1
Seven Psychopaths (2012),1
Seven Samurai (Shichinin no samurai) (1954),14
Seven Years in Tibet (1997),2
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",7
Sex and Lucia (Lucía y el sexo) (2001),1
"Sex, Lies, and Videotape (1989)",3
Sexy Beast (2000),1
Sgt. Bilko (1996),1
Shadow of a Doubt (1943),2
Shadowlands (1993),2
Shaft (1971),1
Shakespeare in Love (1998),19
Shall We Dance (1937),2
Shall We Dance? (Shall We Dansu?) (1996),1
Shallow Grave (1994),5
Shallow Hal (2001),1
Shampoo (1975),2
Shanghai Noon (2000),2
Shaolin Soccer (Siu lam juk kau) (2001),2
Shaun of the Dead (2004),20
"Shawshank Redemption, The (1994)",153
She's All That (1999),2
She's Out of My League (2010),1
She's the Man (2006),1
She's the One (1996),1
Sherlock - A Study in Pink (2010),1
Sherlock Holmes (2009),9
Sherlock Holmes and Dr. Watson: Acquaintance (1979),1
Sherlock Holmes: A Game of Shadows (2011),3
Sherlock: The Abominable Bride (2016),3
Shine (1996),6
"Shining, The (1980)",29
Shogun Assassin (1980),1
Shoot 'Em Up (2007),2
Shooter (2007),3
Shooting Fish (1997),1
"Shop Around the Corner, The (1940)",1
Short Circuit (1986),1
Short Cuts (1993),3
Show Me Love (Fucking Åmål) (1998),2
Shower (Xizao) (1999),1
Showgirls (1995),1
Shrek (2001),30
Shrek 2 (2004),10
Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010),1
Shrek the Third (2007),1
Shutter Island (2010),13
Siam Sunset (1999),1
Sicko (2007),1
Side Effects (2013),1
Sideways (2004),7
Signs (2002),1
"Silence of the Lambs, The (1991)",92
Silent Hill (2006),1
Silkwood (1983),1
Silver Linings Playbook (2012),4
"Simple Plan, A (1998)",3
"Simpsons Movie, The (2007)",3
Sin City (2005),12
Singin' in the Rain (1952),14
Single White Female (1992),1
Sister Act (1992),1
"Sisterhood of the Traveling Pants, The (2005)",1
Sisters (Syostry) (2001),1
Six Degrees of Separation (1993),3
Six-String Samurai (1998),1
Sixteen Candles (1984),6
"Sixth Sense, The (1999)",36
"Skin I Live In, The (La piel que habito) (2011)",1
"Skulls, The (2000)",1
Skyfall (2012),5
Slap Shot (1977),2
Sleeper (1973),3
Sleepers (1996),3
Sleepless in Seattle (1993),8
Sleepy Hollow (1999),4
Sliding Doors (1998),3
Sling Blade (1996),11
Slumber Party Massacre II (1987),1
Slumber Party Massacre III (1990),1
Slumdog Millionaire (2008),13
"Slums of Beverly Hills, The (1998)",1
Small Time Crooks (2000),2
Smoke (1995),6
Snake Eyes (1998),1
Snakes on a Plane (2006),1
Snatch (2000),25
Sneakers (1992),1
Snow Dogs (2002),1
Snow White and the Seven Dwarfs (1937),10
"Snowflake, the White Gorilla (2011)",1
Snowpiercer (2013),1
So I Married an Axe Murderer (1993),5
"Social Network, The (2010)",7
Solaris (2002),1
Solaris (Solyaris) (1972),4
Solo: A Star Wars Story (2018),1
Some Kind of Wonderful (1987),1
Some Like It Hot (1959),13
Something Wicked This Way Comes (1983),1
Something to Talk About (1995),1
Somewhere in Time (1980),1
Son in Law (1993),1
Son of Rambow (2007),1
"Son of the Bride (Hijo de la novia, El) (2001)",1
Sonatine (Sonachine) (1993),1
Song of the Little Road (Pather Panchali) (1955),1
Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage) (2005),1
Sophie's Choice (1982),4
Sorority House Massacre (1986),1
Sorority House Massacre II (1990),1
"Sound of Music, The (1965)",21
South Pacific (1958),1
"South Park: Bigger, Longer and Uncut (1999)",17
Space Jam (1996),3
Spaceballs (1987),4
"Spanish Apartment, The (L'auberge espagnole) (2002)",1
"Spanish Prisoner, The (1997)",2
Spartacus (1960),1
Spawn (1997),1
"Specialist, The (1994)",2
Spectre (2015),1
Speed (1994),26
Spellbound (1945),2
Spellbound (2002),1
Spellbound (2011),1
Spider-Man (2002),10
Spider-Man 2 (2004),13
Spider-Man 3 (2007),1
Spirited Away (Sen to Chihiro no kamikakushi) (2001),23
Splash (1984),2
Spotlight (2015),4
"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",2
Spy (2015),2
Spy Game (2001),2
Spy Kids (2001),1
"Spy Who Loved Me, The (1977)",1
Stalker (1979),2
Stand and Deliver (1988),1
Stand by Me (1986),21
"Stand, The (1994)",1
Star Trek (2009),6
Star Trek II: The Wrath of Khan (1982),12
Star Trek III: The Search for Spock (1984),1
Star Trek IV: The Voyage Home (1986),7
Star Trek Into Darkness (2013),3
Star Trek V: The Final Frontier (1989),1
Star Trek VI: The Undiscovered Country (1991),5
Star Trek: First Contact (1996),22
Star Trek: Generations (1994),8
Star Trek: Insurrection (1998),2
Star Trek: The Motion Picture (1979),1
Star Wars: Episode I - The Phantom Menace (1999),11
Star Wars: Episode II - Attack of the Clones (2002),5
Star Wars: Episode III - Revenge of the Sith (2005),6
Star Wars: Episode IV - A New Hope (1977),104
Star Wars: Episode V - The Empire Strikes Back (1980),80
Star Wars: Episode VI - Return of the Jedi (1983),65
Star Wars: Episode VII - The Force Awakens (2015),5
Star Wars: The Last Jedi (2017),1
Stardust (2007),4
Stardust Memories (1980),1
Stargate (1994),11
Starship Troopers (1997),7
State and Main (2000),1
Steel Magnolias (1989),1
Step Brothers (2008),3
Step Up (2006),1
Steve Jobs (2015),1
Stigmata (1999),1
"Sting, The (1973)",15
Stir Crazy (1980),1
Stir of Echoes (1999),1
Stitch! The Movie (2003),1
Stop Making Sense (1984),1
"Story of Women (Affaire de femmes, Une) (1988)",1
"Strada, La (1954)",1
Straight Outta Compton (2015),1
"Straight Story, The (1999)",1
Strange Brew (1983),2
Strange Days (1995),3
Stranger Than Paradise (1984),3
Stranger than Fiction (2006),4
Strangers on a Train (1951),6
"Streetcar Named Desire, A (1951)",10
Strictly Ballroom (1992),6
Strictly Sexual (2008),1
Stripes (1981),8
Striptease (1996),2
Stuart Little (1999),1
Stuart Little 2 (2002),1
Stuart Little 3: Call of the Wild (2005),1
"Stunt Man, The (1980)",2
SubUrbia (1997),1
Submarine (2010),1
Sudden Death (1995),2
Sudden Impact (1983),1
Sullivan's Travels (1941),2
Summer of Sam (1999),1
"Summer's Tale, A (Conte d'été) (1996)",1
Sun Alley (Sonnenallee) (1999),1
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),10
Sunshine (2007),3
Super Size Me (2004),2
Super Troopers (2001),4
Superbad (2007),10
Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),2
Supercop 2 (Project S) (Chao ji ji hua) (1993),1
Supergirl (1984),1
Superman (1978),6
Superman II (1980),1
Superman Returns (2006),1
Superman/Batman: Public Enemies (2009),1
Superstar (1999),2
Surrogates (2009),2
Suspicion (1941),1
Suspiria (1977),3
Sweeney Todd: The Demon Barber of Fleet Street (2007),2
"Sweet Hereafter, The (1997)",7
Sweet Home Alabama (2002),2
Sweet November (2001),1
Sweet Smell of Success (1957),1
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),4
Swimming with Sharks (1995),2
Swing Kids (1993),1
Swingers (1996),8
"Sword in the Stone, The (1963)",3
"Sword of Doom, The (Dai-bosatsu tôge) (1966)",1
Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002),1
Syriana (2005),1
Tadpole (2002),1
Take the Lead (2006),1
Taken (2008),6
Taken 2 (2012),2
Taken 3 (2015),1
"Taking of Pelham One Two Three, The (1974)",2
"Talented Mr. Ripley, The (1999)",4
Tales from the Crypt Presents: Bordello of Blood (1996),1
Tales from the Crypt Presents: Demon Knight (1995),1
Tales from the Darkside: The Movie (1990),1
Tales of Manhattan (1942),1
Talladega Nights: The Ballad of Ricky Bobby (2006),2
Tampopo (1985),1
Tangled (2010),4
Tank Girl (1995),1
"Tao of Steve, The (2000)",1
Tarzan (1999),3
Taxi (1998),1
Taxi 2 (2000),1
Taxi Driver (1976),32
Tea with Mussolini (1999),3
Teaching Mrs. Tingle (1999),1
Team America: World Police (2004),5
Ted (2012),1
Ted 2 (2015),1
Teen Wolf (1985),1
Tekkonkinkreet (Tekkon kinkurîto) (2006),2
Tenchi Muyô! In Love (1996),1
"Terminal, The (2004)",1
Terminator 2: Judgment Day (1991),64
"Terminator, The (1984)",23
Terms of Endearment (1983),5
Terri (2011),1
"Texas Chainsaw Massacre, The (1974)",2
Thank You for Smoking (2006),5
That Thing You Do! (1996),4
The Adventures of Sherlock Holmes and Doctor Watson,1
The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers (1980),1
The Adventures of Sherlock Holmes and Doctor Watson: The Treasures of Agra (1983),1
The Adventures of Sherlock Holmes and Dr. Watson: Bloody Signature (1979),1
The Amazing Screw-On Head (2006),1
The Artist (2011),4
The Big Bus (1976),1
The Big Sick (2017),1
The Blue Planet (2001),1
The Boss Baby (2017),1
The Bremen Town Musicians (1969),1
The Butterfly Effect (2004),4
The Count of Monte Cristo (2002),4
The Devil's Advocate (1997),6
The Editor (2015),1
The Eye: Infinity (2005),1
The Fault in Our Stars (2014),1
The Fox and the Hound 2 (2006),1
The Gift (2015),1
The Girl with All the Gifts (2016),1
The Girls (1961),1
The Godfather Trilogy: 1972-1990 (1992),1
The Golden Voyage of Sinbad (1973),1
The Hateful Eight (2015),2
The Hobbit: The Battle of the Five Armies (2014),2
The Hunger (1983),1
The Hunger Games (2012),3
The Hunger Games: Catching Fire (2013),1
The Hunger Games: Mockingjay - Part 1 (2014),2
The Hunger Games: Mockingjay - Part 2 (2015),1
The Imitation Game (2014),7
The Intern (2015),1
The Interview (2014),1
The Jinx: The Life and Deaths of Robert Durst (2015),1
The Jungle Book (2016),1
The Lair of the White Worm (1988),1
The Lego Batman Movie (2017),2
The Lego Movie (2014),5
The Lobster (2015),1
The Love Bug (1997),1
The Machinist (2004),5
The Man from Nowhere (2010),1
The Man from U.N.C.L.E. (2015),1
The Man in the Moon (1991),1
The Martian (2015),5
The Nice Guys (2016),2
The Night Before (2015),1
The Pacific (2010),1
The Raid 2: Berandal (2014),2
The Raid: Redemption (2011),4
The Revenant (2015),9
The Salt of the Earth (2014),1
The Theory of Everything (2014),1
The Wedding Ringer (2015),2
Thelma & Louise (1991),5
Them! (1954),1
There Once Was a Dog (1982),1
There Will Be Blood (2007),7
There's Something About Mary (1998),15
Thesis (Tesis) (1996),1
They Call Me Trinity (1971),1
Thief (1981),1
"Thin Blue Line, The (1988)",1
"Thin Line Between Love and Hate, A (1996)",1
"Thin Man, The (1934)",1
"Thin Red Line, The (1998)",7
"Thing, The (1982)",14
Things to Do in Denver When You're Dead (1995),1
"Third Man, The (1949)",10
Thirteen Conversations About One Thing (a.k.a. 13 Conversations) (2001),1
Thirteen Days (2000),1
Thirty-Two Short Films About Glenn Gould (1993),1
This Is England (2006),1
This Is Spinal Tap (1984),15
This Is the End (2013),1
"Thomas Crown Affair, The (1968)",1
"Thomas Crown Affair, The (1999)",4
Thor (2011),3
Thor: Ragnarok (2017),4
Thor: The Dark World (2013),1
"Thousand Clowns, A (1965)",1
"Three Billboards Outside Ebbing, Missouri (2017)",4
"Three Caballeros, The (1945)",1
